i,j,map,prob_of_b_east_given_intended,prob_of_b_north_given_intended,prob_of_b_south_given_intended,prob_of_b_west_given_intended,prob_of_d_east_given_intended,prob_of_d_north_given_intended,prob_of_d_south_given_intended,prob_of_d_west_given_intended,prob_of_EDGE_east_given_intended,prob_of_EDGE_north_given_intended,prob_of_EDGE_south_given_intended,prob_of_EDGE_west_given_intended,prob_of_f_east_given_intended,prob_of_f_north_given_intended,prob_of_f_south_given_intended,prob_of_f_west_given_intended,prob_of_g_east_given_intended,prob_of_g_north_given_intended,prob_of_g_south_given_intended,prob_of_g_west_given_intended,prob_of_m_east_given_intended,prob_of_m_north_given_intended,prob_of_m_south_given_intended,prob_of_m_west_given_intended,prob_of_r_east_given_intended,prob_of_r_north_given_intended,prob_of_r_south_given_intended,prob_of_r_west_given_intended,prob_of_w_east_given_intended,prob_of_w_north_given_intended,prob_of_w_south_given_intended,prob_of_w_west_given_intended,intended
0,0,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,1,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,2,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,3,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,4,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,5,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,6,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,7,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,8,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,9,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,10,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,11,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,12,PalletTown,0.0779220779,0,0,0.0519480519,0.0974025974,0.1558441558,0.2402597403,0.2272727273,0,0.0519480519,0.012987013,0,0.1493506494,0.0519480519,0.0064935065,0.0519480519,0.6428571429,0.7402597403,0.7402597403,0.6428571429,0,0,0,0,0,0,0,0,0.0324675325,0,0,0.025974026,g
0,13,PalletTown,0.0779220779,0,0,0.0519480519,0.0974025974,0.1558441558,0.2402597403,0.2272727273,0,0.0519480519,0.012987013,0,0.1493506494,0.0519480519,0.0064935065,0.0519480519,0.6428571429,0.7402597403,0.7402597403,0.6428571429,0,0,0,0,0,0,0,0,0.0324675325,0,0,0.025974026,g
0,14,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,15,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,16,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,17,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,18,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,19,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,20,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,21,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,22,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
0,23,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
1,0,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
1,1,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
1,2,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
1,3,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
1,4,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
1,5,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
1,6,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
1,7,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
1,8,PalletTown,0,0,0,0,0.0869565217,0.0923913043,0,0.0054347826,0.1304347826,0.0652173913,0.1195652174,0.1304347826,0.7391304348,0.8369565217,0.8369565217,0.7391304348,0.0434782609,0.0054347826,0.0434782609,0.125,0,0,0,0,0,0,0,0,0,0,0,0,f
