i,j,b,d,g,f,m,s,EDGE,w,r,intended
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
1,1,1.4874549677856732e-06,4.0225419045783622e-09,1.571379542933915e-06,0.032686461221051143,0.00014018543335105236,2.6951595419402586e-10,1.6410394269771215e-09,0.0,0.0,f
