i,j,b,d,g,f,m,s,EDGE,w,r,intended
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,g
0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d
0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d
0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d
0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d
