i,j,b,d,g,f,m,s,EDGE,w,r,intended
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,g
0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,g
0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,g
0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,g
0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,g
0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
1,1,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
1,2,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
1,3,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
1,4,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
1,5,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
1,6,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
1,7,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
1,8,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
1,9,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
1,10,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
1,11,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
1,12,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
1,13,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
1,14,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
1,15,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
1,16,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
1,17,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
1,18,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
1,19,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
1,20,6.6918780741495608e-08,0.0,2.272325958426051e-07,0.0,3.3910200464904887e-06,4.6489422651049803e-09,0.0,6.0770968575098378e-08,0.0059128000026356462,w
1,21,3.0457593972295168e-09,4.7443234705448768e-08,7.1585440351753027e-06,0.0,0.0071922946557243638,1.6559068661928016e-08,6.1525582991137144e-09,1.8647506513650101e-08,5.5569569410677303e-07,g
1,22,1.4999574301940857e-09,3.3129749865191588e-07,3.000524073867512e-05,5.7151455145922889e-06,0.39022144184879226,7.5276105371480952e-09,8.4839306488840562e-08,2.7691521788198506e-09,3.4614402235248132e-09,g
1,23,1.4999574301940857e-09,3.3129749865191588e-07,3.000524073867512e-05,5.7151455145922889e-06,0.39022144184879226,7.5276105371480952e-09,8.4839306488840562e-08,2.7691521788198506e-09,3.4614402235248132e-09,g
1,24,1.4999574301940857e-09,3.3129749865191588e-07,3.000524073867512e-05,5.7151455145922889e-06,0.39022144184879226,7.5276105371480952e-09,8.4839306488840562e-08,2.7691521788198506e-09,3.4614402235248132e-09,g
1,25,2.332549914400586e-08,1.1476793403112279e-07,1.6597043335816212e-05,0.0001121990806594204,0.026707917725882491,2.278913126144237e-09,3.7867878567688826e-08,0.0,0.0,g
1,26,2.0449716969198212e-06,1.2482536449744426e-08,3.8820645422077311e-07,0.028957362478033172,0.00017572810453041272,3.7097246465943814e-11,0.0,0.0,0.0,f
1,27,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,28,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,29,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,30,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,31,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,32,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,33,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,34,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,35,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,36,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,37,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,38,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,39,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,40,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,41,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,42,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,43,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,44,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,45,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,46,2.3184347853539573e-05,1.2835742782385623e-09,1.4159066007566595e-07,0.4899672270004487,1.0366118007128527e-05,6.0989709493944112e-11,0.0,0.0,0.0,f
1,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,w
2,1,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
2,2,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
2,3,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
2,4,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
2,5,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
2,6,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
2,7,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
2,8,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
2,9,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
2,10,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
2,11,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
2,12,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
2,13,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
2,14,6.8976727913785392e-07,0.0,6.6069766521825229e-08,0.0,4.3750673129578707e-08,0.0,0.0,2.7500423110020905e-08,0.66446395216476983,w
